StudentComments,sent_pretrained,target
he is a good faculty.,pos,pos
he is a good teacher.,pos,pos
good,pos,pos
very good and helpful,pos,pos
she is a very good teacher,pos,pos
good teacher,pos,pos
"not so bad,not so nice faculty.in between",neg,neg
nice,pos,pos
he is a very good teacher.,pos,pos
it was a good experience with her,pos,pos
good,pos,pos
she is a good teacher,pos,pos
good teacher,pos,pos
good,pos,pos
very good faculty and i like her teaching style & lecture.,pos,pos
she is nice.,pos,pos
good teacher,pos,pos
is good,pos,pos
no,neu,neu
good,pos,pos
he is a good teacher,pos,pos
he has a great personality,pos,pos
gd,neu,neu
good enough,neu,neu
you are good.,pos,pos
good teacher.,pos,pos
best teacher for me,pos,pos
nothing special. overall good personality.,pos,pos
great,pos,pos
"excellent faculty, beside teaching the subject matters he also taught on how to become a well behaved human being :)",pos,pos
such a nice person,pos,pos
good teacher,pos,pos
well \,neu,neu
he is a good teacher,pos,pos
great man,pos,pos
in a word she is the best teacher i get in this semester.,pos,pos
good,pos,pos
ok,neu,neu
sir is a very amusing personality. but also becomes serious where he needs to be. has become one of my favourite.,pos,pos
good,pos,pos
he should teach more,neu,neu
due to some difficulties i wasn't able to attend the classes and i strongly agree all the terms,neu,neu
she is always punctual in class but she is not clearly described which she teaches (follow short cut method i can’t understand properly). i think she is very much angry because if she find any fault of any one then she is very much rood on us which make us afraid. that’s why we want to avoid conversation with her. but she is very much fair in grading policy. (this is my personal opinion on her) thank you,neg,neg
she is a very experienced personality and also the best quality of her is that she actually relates her own experiences and try to make our concept regarding the topic easier . the only suggestion to her would be that she should us english more often as a medium to communicate with the students,pos,pos
mem is good,pos,pos
good,pos,pos
good,pos,pos
good,pos,pos
good faculty,pos,pos
sir is very good in teaching,pos,pos
no,neu,neu
ok,neu,neu
he is a good teacher.,pos,pos
he is a good teacher.,pos,pos
he is knowledgeable and efficient teacher,pos,pos
best,pos,pos
she is a good teacher,pos,pos
he is a good teacher.,pos,pos
one of our helpful faculty.,pos,pos
"okay teacher, but shouts too often for no significant reason !",neg,neg
good,pos,pos
he is very hard working. he try his best to make understand. he is very punctual.,pos,pos
he is a great teacher.,pos,pos
vrey good,pos,pos
good faculty,pos,pos
good,pos,pos
good teachar,pos,pos
averagely good teacher. but he needs to reach the class in time.,pos,pos
very enjoyable,pos,pos
creative,neu,neu
favorite teacher,pos,pos
good,pos,pos
teacher is so good. his behaviour is wonderful.,pos,pos
good,pos,pos
good,pos,pos
i am absence this class,neg,neg
x,pos,pos
good,pos,pos
dont look at the top.he is a very honest & frindly & above all helpfull teacher.he is like a shelter for us.for any kind of help we can contact with him,pos,pos
"nt bad in lab neither good.he never verify the lab,talks too much over phone during class time.",neg,neg
good teacher,pos,pos
good teacher& maintain good relation with students.,pos,pos
she is disciplined.,pos,pos
his marking hand is not even for same ans.,neu,neu
good,pos,pos
"help us to do better .applies different approaches, styles and techniques.very puntual and a good teacher",pos,pos
excellent,pos,pos
good,pos,pos
he is good,pos,pos
good,pos,pos
good,pos,pos
she is good faculty,pos,pos
good,pos,pos
she is so friendly,pos,pos
he is a good teacher but need to upload the slides as soon as the lectures finished. all others area are good.,pos,pos
good,pos,pos
good,pos,pos
good teacher,pos,pos
excellent,pos,pos
good,pos,pos
he is a good teacher.,pos,pos
good,pos,pos
done,pos,pos
good,pos,pos
worst faculty i have ever seen,neg,neg
mam is good,pos,pos
i,neu,neu
have good skill of teaching,pos,pos
good,pos,pos
he says us “be serious about codding “,neu,neu
sir doesn’t know anything about our system,neg,neg
nice teacher,pos,pos
nice teacher,pos,pos
good,pos,pos
he is a good teacher.,pos,pos
best teacher & very friendly .,pos,pos
maam is great,pos,pos
not too good.,neg,neg
he is so discipline and teaches us to be ethically correct.,pos,pos
good,pos,pos
good,pos,pos
he is a good faculty member and friendly with the students.,pos,pos
joss,neu,neu
good teacher,pos,pos
very good teacher,pos,pos
good teacher,pos,pos
i respect her a lot.,pos,pos
best faculty,pos,pos
awesome,pos,pos
not so good,neg,neg
he is a good teacher.,pos,pos
very good,pos,pos
good,pos,pos
sir is very good. i feel lucky to have him as a faculty,pos,pos
he is ok with us,pos,pos
good,pos,pos
well,neu,neu
very very goog,neu,neu
very very good teacher.,pos,pos
not good teacher,neg,neg
good,pos,pos
well,neu,neu
good,pos,pos
good,pos,pos
good,pos,pos
good,pos,pos
very bad,neg,neg
good teacher,pos,pos
good,pos,pos
good,pos,pos
good,pos,pos
well,neu,neu
good,pos,pos
good,pos,pos
sir you are best,pos,pos
nice teacher,pos,pos
he is a good teacher,pos,pos
a very understandable teacher. but as it is online need to more flexible about lab cause it is really difficult to know with this time,neu,neu
honorable sir.,pos,pos
she is a good teacher.,pos,pos
nothing to say .,neu,neu
he is perfect for cad,pos,pos
good teacher,pos,pos
good,pos,pos
he is a good teacher but needs more experience.,pos,pos
best lecturer,pos,pos
good,pos,pos
okey,neu,neu
mam's teaching style is very good .,pos,pos
good,pos,pos
punctual,neu,neu
good,pos,pos
he is a good teacher,pos,pos
"i'm in love with his ?????????? ?????? to those who deserve it, ??????????????????????? sadly, he gives those students second chances out of compassion, which they shouldn’t get",pos,pos
moderate,neu,neu
best,pos,pos
he is a good teacher,pos,pos
good,pos,pos
good,pos,pos
best faculty,pos,pos
good,pos,pos
he is a bit strict but cool and frank at the same time.,pos,pos
he is a great teacher.,pos,pos
so good.,pos,pos
best,pos,pos
he is an excellent teacher.i think his knowledge is so deep.i would have passed in microprocessor if he wouldn't give me a+ in the microprocessor lab and i learned many things from him.,pos,pos
best teacher,pos,pos
very good teacher ever.,pos,pos
good,pos,pos
good,pos,pos
he is well.,pos,pos
he is the boss of english grammer as well as a good speaker.,pos,pos
good,pos,pos
he is someone being respected.,pos,pos
he is an excellent teacher.,pos,pos
very gd,pos,pos
good faculty indeed.,pos,pos
he is a good teacher.he is very caring to his student.,pos,pos
good,pos,pos
excellent capability,pos,pos
"he is our new teacher. so, we don't have much knowledge about him.",neu,neu
best faculty of oscm,pos,pos
good,pos,pos
worst,neg,neg
best,pos,pos
he is a good teacher.,pos,pos
ok,neu,neu
best teacher,pos,pos
good,pos,pos
good,pos,pos
he is a good teacher,pos,pos
i think she is need to more concern for her students.sometimes i feel very helpless for her behave.,neg,neg
a very good teacher indeeed. i respect her a lot,pos,pos
good,pos,pos
overall good,pos,pos
good,pos,pos
amazing,pos,pos
he is awesome.,pos,pos
very good teacher,pos,pos
best,pos,pos
good,pos,pos
good,pos,pos
good,pos,pos
good teacher,pos,pos
r,neu,neu
good,pos,pos
good,pos,pos
good teacher,pos,pos
good,pos,pos
good,pos,pos
she is a good teacher.,pos,pos
good teacher,pos,pos
smart teacher,pos,pos
very good,pos,pos
ok,neu,neu
it was good.,pos,pos
na ask korle kicu jana jaina.,neu,neu
saidur sir is very very friendly with us and also helpfull.he interacts properly with us.he is a man of complection to us.,pos,pos
she is a good teacher.,pos,pos
good teacher,pos,pos
teaches well,pos,pos
he is very responsible for us,neu,neu
good,pos,pos
excellent,pos,pos
mam best! ??? ???? ????? ??? ??? ??? ????? ??? ????? ???? ?????? ??????? ???? ????? we all love her.,pos,pos
good teacher,pos,pos
good,pos,pos
gy,neu,neu
he is a good person but sometimes fail to control his temper.,neg,neg
he is not perfect for teaching profession,neg,neg
i agree,neu,neu
good,pos,pos
sir is good,pos,pos
excellent,pos,pos
"he is a very good teacher, and a role model.",pos,pos
good one,pos,pos
very good faculty,pos,pos
well,neu,neu
a person with good personality as a teacher.,pos,pos
n,neu,neu
good teacher,pos,pos
not so good not so bad. :),pos,pos
good,pos,pos
mam's teaching method is good,pos,pos
good,pos,pos
good,pos,pos
good,pos,pos
good faculty,pos,pos
she is a very good taecher.,pos,pos
totally frustrating for student. teaching method is soo poor,neg,neg
north-south-east-west.ehsan is the best,pos,pos
she is a good teacher.,pos,pos
very good,pos,pos
good,pos,pos
very good,pos,pos
good,pos,pos
good,pos,pos
he's good.,pos,pos
i think sir can do better in teaching us in pl.,neu,neu
good teacher,pos,pos
sir teach us good.,pos,pos
he is a very good teacher,pos,pos
mam is good.,pos,pos
sir is tok much good,pos,pos
he dont tolerate any students expectation.we want so much flexible,neg,neg
my course teacher is so kind to teach us a lot of new things. this is a good going in my varsity life. i am glad to have mr.mazurul sir as my couse teacher.,pos,pos
great teacher who co-operates with the student,pos,pos
a very very good and smart teacher.,pos,pos
ha ha ha ;;;;;;;;;,neg,neg
good,pos,pos
he is a good faculty,pos,pos
just awesome teacher. vast knowledge on hrm. i think myself lucky for being her student and for getting her as a faculty of one of my course.,pos,pos
he is a good teacher.,pos,pos
she is a very nice teacher,pos,pos
he is a good teacher,pos,pos
sir provided clear directions and resources for conducting thesis,neu,neu
best,pos,pos
sir is very gentle person,pos,pos
nothing,neu,neu
very good,pos,pos
she is a very good teacher,pos,pos
good,pos,pos
punctual in attending the class.,neu,neu
gd,neu,neu
faculty is great,pos,pos
good,pos,pos
"well. good thing is,she sees the lab report very carefully and i strongly agree her. after all she is awesome",pos,pos
she is good teacher,pos,pos
really he is a good teacher as i aspect. thanks.,pos,pos
great,pos,pos
make my basic very clear in fundamental chemistry,neu,neu
he is the best;,pos,pos
best,pos,pos
he is good .,pos,pos
good,pos,pos
good teacher,pos,pos
everything was good but lackness of confidence i think.,neu,neu
good,pos,pos
she is excellent,pos,pos
very good faculty,pos,pos
he is excellent . teaches us very carefully.,pos,pos
good,pos,pos
good enough,neu,neu
no fair marking so he shouldn't take the ethics course.,neg,neg
"he wasn't ready for coa. varsity shouldn't give this type of hard courses to a newbie.wasted 4 weeks by just talking to students.a real good human being,such a friendly person. varsity should assign him to subjects like c,c++.it will be great benefit for students who are afraid of faculties",neg,neg
policy of giving average grade is not good for at all who actually do all the tasks properly,neg,neg
great,pos,pos
no,neu,neu
he is a good person,pos,pos
he tried to make better understand to the students,neu,neu
he is a good teacher,pos,pos
he is an ok teacher.,pos,pos
no comments !,neu,neu
he is very good teacher.,pos,pos
best,pos,pos
she is good,pos,pos
she needs to improve,neu,neu
good,pos,pos
she is the best faculty for a student who wants to learn. all the faculties should be like her. she explains everything really nicely.,pos,pos
best teacher .,pos,pos
he is a good teacher.,pos,pos
good,pos,pos
good,pos,pos
good,pos,pos
very good teacher,pos,pos
good,pos,pos
best one,pos,pos
very good sir,pos,pos
best mam,pos,pos
not good teacher,neg,neg
not so much dedicated.,neu,neu
he is one of the best teacher in aiub.,pos,pos
well,neu,neu
she is a love,pos,pos
good,pos,pos
good,pos,pos
good,pos,pos
good,pos,pos
great teacher!,pos,pos
good,pos,pos
very intelligent and willing,pos,pos
very good,pos,pos
good,pos,pos
good,pos,pos
good,pos,pos
he is good,pos,pos
good,pos,pos
good,pos,pos
good,pos,pos
she is a good teacher.her teaching method is easy to understand all the students in the class.,pos,pos
good,pos,pos
well,neu,neu
"friendly, supportive, no communication gap",pos,pos
not good,neg,neg
good,pos,pos
good,pos,pos
good,pos,pos
ok,neu,neu
good teacher,pos,pos
all is okay. great teacher.,pos,pos
"he should give more time to his students specially in consulting hours.he does not know the proper system of grading.sir,plz plz take care of your students properly,we really like you.",neu,neu
good,pos,pos
its good,pos,pos
good,pos,pos
he is good and very kind to us,pos,pos
as per my opinion she is so much student friendly.and inspire students so much.,pos,pos
weird,neu,neu
average,neu,neu
thank you.,pos,pos
good,pos,pos
friendly and helpful.,pos,pos
she is a nice teacher.,pos,pos
good,pos,pos
good,pos,pos
he is a nice teacher in my eyes,pos,pos
good,pos,pos
"as a teacher,she is a good teacher.",pos,pos
good sir,pos,pos
good,pos,pos
good faculty,pos,pos
sir is a good person.,pos,pos
it's an honour that ma'am is my internship supervisor.,pos,pos
i am happy,pos,pos
"such a perfect teacher, such a perfect leader to be faculty head.",pos,pos
very helpful,pos,pos
good,pos,pos
"i think he is one of the best faculties in aiub. he has an unique style to make the students understood, and he's really very helpful.",pos,pos
comment,neu,neu
very good.,pos,pos
"i think, she is a good teacher.",pos,pos
he is awesome,pos,pos
good and friendly faculty,pos,pos
best,pos,pos
a good teacher.,pos,pos
all over he is a very good teacher. he shows interest and dedication to teaching.,pos,pos
nice person,pos,pos
good teacher,pos,pos
awesomely good,pos,pos
she is good,pos,pos
good,pos,pos
he is a very good teacher,pos,pos
nice faculty,pos,pos
good,pos,pos
good,pos,pos
very nice person,pos,pos
one of the best sir i ever had.,pos,pos
excelent. very good teacher,pos,pos
he has a very good commiunication skill.,pos,pos
best,pos,pos
good,pos,pos
good,pos,pos
he is a good teacher.,pos,pos
good,pos,pos
he is a very good lecturer and takes good care of us.his teaching style is very nice.,pos,pos
he is a legend. proud to be a student of him,pos,pos
good teacher,pos,pos
we need her,neu,neu
the class lacture is always undustable and the teachers are always friendly in behavior.,pos,pos
good,pos,pos
best,pos,pos
he teach us well,pos,pos
he is a good teacher,pos,pos
best faculty in my varsity life ??,pos,pos
sir is very punctual and friendly.,pos,pos
good,pos,pos
good,pos,pos
good teacher,pos,pos
i strongly agree all of this.,pos,pos
she is great!!!!,pos,pos
agreed,neu,neu
he is an littile bit good teacher,pos,pos
very good teacher,pos,pos
normal faculty,neu,neu
overall he is not bad.,pos,pos
well,neu,neu
good effort,pos,pos
one of best faculty in aiub i ever seen. he is so helpful person to students.,pos,pos
fair enough,neu,neu
i'm confident .,pos,pos
best one,pos,pos
very impatient.,neg,neg
excellent,pos,pos
good,pos,pos
good teacher,pos,pos
she is so good in the class.i enjoyed how she teaches us.,pos,pos
a,neu,neu
good,pos,pos
good,pos,pos
highly skilled teacher.,pos,pos
good,pos,pos
good,pos,pos
microphone sound is too low that we cant focus on what he saying. he should show more technique or example in lecture.,neg,neg
he is a good teacher,pos,pos
good,pos,pos
i'd expect a better teacher,neg,neg
fine,neu,neu
good teacher,pos,pos
he is a very good teacher.his teaching method is very good.the main thing is ----- he teaches us from several books.he doesn't follow any lecture sheet.thats why we can learn batter about physics.,pos,pos
he is a good teacher.,pos,pos
not so good not so bad,neg,neg
good,pos,pos
good,pos,pos
he is one of the best teacher i found in the varsity.very friendly and knows what he is doing.,pos,pos
good,pos,pos
good,pos,pos
well,neu,neu
not bad,neu,neu
he should give better examples to students to feeling more comfortable about questions before take the exams or quizzes,neu,neu
good,pos,pos
very good teacher.,pos,pos
good teacher,pos,pos
hamid sir is the best teacher for sales.,pos,pos
he is grate,pos,pos
final term,neu,neu
fine,neu,neu
he a good teacher. try to teach well and help us,pos,pos
very good,pos,pos
best teacher in this semester.,pos,pos
he is very good teacher to teach us.,pos,pos
he is a good instructor .,pos,pos
we like him,pos,pos
great teacher,pos,pos
good,pos,pos
good,pos,pos
he is awesome.,pos,pos
very good teacher,pos,pos
thank u sir.,pos,pos
he is a good one,pos,pos
good,pos,pos
best faculty ever!!,pos,pos
he is a good teacher and will be better.,pos,pos
good,pos,pos
so so,neu,neu
excellent,pos,pos
no comments.,neu,neu
"she is amazing,very capable.for me she is one of the great teachers i have ever seen",pos,pos
best,pos,pos
we are honoured. .,pos,pos
good faculty,pos,pos
best,pos,pos
better,pos,pos
very good,pos,pos
good,pos,pos
"he is a nice person. friendly, humble . her teaching system just awesome .",pos,pos
good teacher,pos,pos
best,pos,pos
well,neu,neu
good,pos,pos
good,pos,pos
good,pos,pos
her teaching activities is bad.and students cannot understand.,neg,neg
he is very supportive underdtanding n well behved.thank you sir to make my last journey easier. :),pos,pos
thank you.,pos,pos
he is a good teacher in accounting.h e always trying his best lecture to us.we understand his lecture,pos,pos
the way of teaching is good.,pos,pos
he is a very good teacher.,pos,pos
no,neu,neu
outstanding,pos,pos
excellent,pos,pos
good teacher,pos,pos
best,pos,pos
good,pos,pos
amazing,pos,pos
he is a good teacher.,pos,pos
good,pos,pos
he is the good,pos,pos
he is a good sir.,pos,pos
he is a great teacher.,pos,pos
dedicated about teaching.,neu,neu
great,pos,pos
satisfy,neu,neu
good teacher,pos,pos
good mam,pos,pos
good,pos,pos
very good at teaching.,pos,pos
he is a good teacher!,pos,pos
good,pos,pos
good faculty.,pos,pos
worse faculty.,neg,neg
good,pos,pos
good teaching process,pos,pos
no comments.,neu,neu
he is a mysterious character.,neu,neu
he is a very good teacher.,pos,pos
good faculty,pos,pos
not bad,neu,neu
very good,pos,pos
well,neu,neu
a,neu,neu
good teacher,pos,pos
faculty is good,pos,pos
good teacher,pos,pos
the way he teaches us we learn lot of things from his teaching style,pos,pos
friendly and a good human being,pos,pos
thank you sir,pos,pos
well,neu,neu
great,pos,pos
he teach us very well,pos,pos
sir is very good,pos,pos
he is a disghusting teacher.,neg,neg
nice to have him in this course,pos,pos
good faculty,pos,pos
good faculty,pos,pos
miss is nice.,pos,pos
fine,neu,neu
miss always concern about us.,neu,neu
gd,neu,neu
a good teacher,pos,pos
he is a good teacher,pos,pos
good,pos,pos
he is a perfect teacher,pos,pos
i think she is very much skillful in english language bt it harm us to realise her language,neu,neu
not good at all,neg,neg
good faculty,pos,pos
learning method is too difficult for us,neg,neg
good teacher,pos,pos
overall good teacher.,pos,pos
excellent,pos,pos
good faculty,pos,pos
good,pos,pos
nice,pos,pos
good,pos,pos
best,pos,pos
good,pos,pos
we like kaspia mam,neu,neu
good,pos,pos
good teacher. fair grades,pos,pos
good,pos,pos
she is a good teacher.,pos,pos
careful,neu,neu
good,pos,pos
he is a good teacher,pos,pos
good,pos,pos
good teacher.,pos,pos
he is a good teacher.,pos,pos
not that good in teaching,neg,neg
good,pos,pos
good,pos,pos
he is good,pos,pos
good,pos,pos
she is very nice teacher having strong knowledge,pos,pos
very good,pos,pos
very good,pos,pos
excellent,pos,pos
good,pos,pos
one of the best teacher in aiub.,pos,pos
very good faculty.,pos,pos
good,pos,pos
she is a good teacher.,pos,pos
good,pos,pos
good,pos,pos
overall good teacher,pos,pos
good teacher,pos,pos
maam is best,pos,pos
as a faculty he is quite good at his profession.,pos,pos
all are good,pos,pos
very satisfied.,pos,pos
good,pos,pos
helpful,pos,pos
"only on word is """"boss""""",neu,neu
good t e acher,pos,pos
very helpful,pos,pos
good,pos,pos
a,neu,neu
good teacher,pos,pos
very good,pos,pos
good,pos,pos
undoubtedly awesome,pos,pos
good,pos,pos
he is a good teacher.,pos,pos
good,pos,pos
"i'm so grateful he was my teacher.he made me a better, more thoughtful person.definitely, want more teacher like him on the teaching field.",pos,pos
dr faria sultana mam is one of my favourite teachers. she is very regular and inspiring to us. she made our classes and lectures easy to understand. she always encourage us to practice english in the class and she tries to make our confidence level high. in the mid term assessment she took individual viva and i think it shows how dedicated she is to us. we learned a lot from her. and i wish to have more classes with her in future.,pos,pos
good,pos,pos
very irresponsible and bad at giving mark,neg,neg
good teacher,pos,pos
very very good teacher and a very good human being.,pos,pos
i like mam's teaching method,pos,pos
excellent,pos,pos
very good.,pos,pos
good,pos,pos
thanks you,pos,pos
she is a good teacher,pos,pos
good,pos,pos
very good,pos,pos
good,pos,pos
very good,pos,pos
teaching method is excellent.,pos,pos
awesome teaching skill,pos,pos
"madam is great and super friendly teacher, i am great full to have her as teacher for my economic course.",pos,pos
our faculty is good,pos,pos
he is a very good teacher.,pos,pos
sir was really kind and friendly. he teaches us with sincerity.,pos,pos
good,pos,pos
preetty good teacher,pos,pos
best faculty,pos,pos
no comment.,neu,neu
she needs a lot of improvements as she joined new here,neu,neu
good,pos,pos
good faculty,pos,pos
good,pos,pos
good in teaching,pos,pos
good,pos,pos
heis a very good teacher,pos,pos
nice,pos,pos
good,pos,pos
he is a good teacher,pos,pos
good,pos,pos
my favourite faculty.,pos,pos
nt bad,neu,neu
very very good,pos,pos
thank you,pos,pos
good faculty,pos,pos
thanks mam to be a nice faculty.,pos,pos
good sir,pos,pos
overall he is a good teacher.,pos,pos
he is the best faculty in aiub i ever seen.,pos,pos
aiub need this kind of teachers,neu,neu
very good,pos,pos
good,pos,pos
she is good in her profession,pos,pos
very good,pos,pos
she is such a nice faculty,pos,pos
can't explain maths properly,neg,neg
ok,neu,neu
good,pos,pos
most gentle and best faculty,pos,pos
he clearly knows a lot.,neu,neu
no,neu,neu
he is a good teacher.,pos,pos
good teacher,pos,pos
good teacher,pos,pos
he is a good teacher,pos,pos
he is a really motivating teacher.,pos,pos
very humble man a good teacher,pos,pos
one of the good faculty for me.,pos,pos
one of the best faculty of aiub,pos,pos
good faculty and teaching style is nice,pos,pos
q,neu,neu
good,pos,pos
good,pos,pos
awesome teacher. best math teacher ever.,pos,pos
racism,neg,neg
good,pos,pos
he is ok.,pos,pos
not bad,neu,neu
one of the best faculty i have ever seen. his behavior towards students and his teaching style is too good.,pos,pos
very very good teacher.,pos,pos
no,neu,neu
he is really good.,pos,pos
respect,neu,neu
average,neu,neu
good personality,pos,pos
excellent,pos,pos
good,pos,pos
good teacher,pos,pos
best faculty,pos,pos
good,pos,pos
good,pos,pos
he is a very good teacher with great personality.he tries to make us understand instant in the class.,pos,pos
awesome,pos,pos
good,pos,pos
he is good teacher,pos,pos
she is a very good teacher.,pos,pos
no comments for him. he is the best.,pos,pos
hard working teacher,neu,neu
best teacher.,pos,pos
very very good,pos,pos
he is a good teacher,pos,pos
good teacher,pos,pos
best,pos,pos
good,pos,pos
he is a good teacher. mcq should removed from quiz.,pos,pos
he is good person,pos,pos
best,pos,pos
caring teacher,pos,pos
best,pos,pos
a teacher who can make learning fun!,pos,pos
he is a good teacher,pos,pos
he is a good teacher,pos,pos
he is a good teacher.,pos,pos
good,pos,pos
good,pos,pos
excellent faculty,pos,pos
nice,pos,pos
well though it is an tuft subject he tries hard to improve us in this subject charming.good work.,pos,pos
good teacher,pos,pos
best faculty,pos,pos
he is good teacher,pos,pos
good,pos,pos
sir is the best,pos,pos
lazy,neu,neu
awesome,pos,pos
very good and understandlble,pos,pos
excellent teacher,pos,pos
good teacher,pos,pos
good,pos,pos
good,pos,pos
great faculty,pos,pos
not good,neg,neg
in my eyes he is very good techer. also he is my favourite techer.,pos,pos
madam is a very intellectual teacher.,pos,pos
soooooo good.,pos,pos
he is an excellent teacher,pos,pos
thank you.,pos,pos
he is to good,pos,pos
good teacher,pos,pos
excellent,pos,pos
good,pos,pos
thank you so so much sir,pos,pos
best,pos,pos
no commwnts,neu,neu
good,pos,pos
one of the best teacher i have ever seen.,pos,pos
good,pos,pos
i like his class.it is an interesting class.i learn more from this course.but time duration of this class is not efficient.,pos,pos
perfect,pos,pos
nc,neu,neu
good,pos,pos
so so,neu,neu
has vast knowledge bt most of the times her teaching cant understand most of the student,neu,neu
he knows a huge stuff. sometimes i think how a person could have this huge knowledge.,pos,pos
good,pos,pos
good teacher,pos,pos
well,neu,neu
sir is good and reading also good,pos,pos
his teaching technic is so good that help my thinking capability .so thank you so much sir,pos,pos
he is a good teacher,pos,pos
she is very faculty & she teach us well.,pos,pos
no coments,neu,neu
good faculty.,pos,pos
one of the best faculties of aiub,pos,pos
thank you.,pos,pos
done,pos,pos
i have no any coment about this teacher.,neg,neg
very sincere and a very good teacher,pos,pos
good enough,neu,neu
good,pos,pos
good teacher,pos,pos
he's is a good teacher,pos,pos
she is a great faculty,pos,pos
average,neu,neu
good person,pos,pos
ami ebar jz,neu,neu
some times she gets a bit impatient other than that almost no complaint in terms of her teaching style.,neu,neu
nice,pos,pos
average faculty,neg,neg
seperb teacher,neu,neu
he is so so,pos,pos
good,pos,pos
he's good.,pos,pos
he is very gentelman and very good teacher also.,pos,pos
good mam,pos,pos
good,pos,pos
gd,neu,neu
good,pos,pos
she is a good teacher.,pos,pos
she's the best math faculty. i really want her for my next courses too. she is too friendly to explain the mathematics. never gets irritated to explain more than once,pos,pos
very friendly,pos,pos
good,pos,pos
s,neu,neu
not that much good,neg,neg
good,pos,pos
good,pos,pos
good,pos,pos
very bad,neg,neg
good teacher,pos,pos
he is a good teacher.,pos,pos
good,pos,pos
he is good,pos,pos
excellent teacher,pos,pos
very humble and helpful teacher,pos,pos
excellent,pos,pos
excellent,pos,pos
sir is an excellent person.,pos,pos
he is very strongly,neu,neu
mirazul sir is a very good teacher.,pos,pos
not good,neg,neg
best,pos,pos
he is a good faculty.,pos,pos
way of teaching is different what may not good for everyone.,neu,neu
he is one of the best,pos,pos
she is so cute and mordern.new mams should follow her.,pos,pos
excellent,pos,pos
good,pos,pos
good,pos,pos
good,pos,pos
she is a very good teacher.,pos,pos
good,pos,pos
good,pos,pos
best,pos,pos
"a beautiful human being.a pillar of support, an epitome of strength, as strict as a father, as caring as a friend, a disciplinarian, yet always so approachable and warm at heart.",pos,pos
good teacher,pos,pos
bad,neg,neg
best,pos,pos
good teacher. but need to be more updated. and should use resource of recent edition,pos,pos
good,pos,pos
good,pos,pos
she is a good faculty,pos,pos
good,pos,pos
good teacher for management,pos,pos
he is a very good teacher.,pos,pos
good,pos,pos
very good,pos,pos
she is a very good teacher in my opinion,pos,pos
good,pos,pos
very good,pos,pos
he is a very good person and gentleman teaching style is very good,pos,pos
thanks,pos,pos
good faculty. just do the maths less quickly.,pos,pos
he is a good teacher,pos,pos
if u want to know then debasis sir is love ??,neu,neu
she's good at handling studio environment,pos,pos
she is very friendly,pos,pos
he is a good faculty.,pos,pos
sir has better understanding in this subject and i am understanding material better. always encourages us to interact with each other. sir is always willing to help us and makes sure we understand the lecture.,pos,pos
he is a good teacher.,pos,pos
he is one of my favourite math faculty.,pos,pos
gud teacher,pos,pos
good teacher,pos,pos
nice,pos,pos
ok,neu,neu
good,pos,pos
he is a nice teacher,pos,pos
average,neu,neu
bad,neg,neg
good teacher,pos,pos
good,pos,pos
very good sir,pos,pos
good,pos,pos
he is a good teacher,pos,pos
excellent teacher very nice very good,pos,pos
she is a good teacher.,pos,pos
he trying to give proper dedication to the students,neu,neu
fabulous faculty,pos,pos
this type of high qualified teacher increase the brand name of aiub. his body language can teach us a lot of think.,pos,pos
sir is a nice person.,pos,pos
he is good thacher and his skills is too much cool.,pos,pos
good,pos,pos
i'm satisfied,pos,pos
good teacher,pos,pos
he is a good teacher,pos,pos
good faculty.,pos,pos
good,pos,pos
sir is so good. always be serious for students study.,pos,pos
he is a very good teacher and a person.he manages the class well.the most interesting thing about him is his confusion.time and time again he gets confused but at the end manages very nicely.,pos,pos
good,pos,pos
nice,pos,pos
he is a good person. and his teaching method is amazing,pos,pos
very good,pos,pos
he is good but he is not punctual in class.,neg,neg
"he is trthful & sincere. he needs to just give 5 mins break in class, after 45 mins of lecture.",neg,neg
one of the best faculty from aiub.,pos,pos
good,pos,pos
he is a very good teacher,pos,pos
no comnt,neu,neu
mam is good,pos,pos
i've learned so many things from him.,pos,pos
good,pos,pos
very good teacher,pos,pos
good,pos,pos
we always want a teacher like shawon sir.,pos,pos
a nice teacher having a strong personality:: weating for such teacher,pos,pos
his teaching method is so cool,pos,pos
he needs further improvement in his teaching style.,neu,neu
he is a good teacher,pos,pos
the teacher is good in class.,pos,pos
mam is good,pos,pos
fine,neu,neu
"after all , she is pretty well in lab.but not up to the mark on her theory class.",neu,neu
good,pos,pos
"he's so nice to us. we pray, may we get him again in some other courses.",pos,pos
nice,pos,pos
good,pos,pos
good,pos,pos
helpful teacher.,pos,pos
great teacher. give a lot of effort for students to learn,pos,pos
"sometimes he skips the explanation part of a theory or sometimes a particular maths, otherwise everything about him is fine.",neu,neu
he helps us to understand our studies. sir is very good teacher.,pos,pos
good teacher,pos,pos
fine,neu,neu
good,pos,pos
good teacher,pos,pos
everything is good,pos,pos
a good faculty to learn from.,pos,pos
good,pos,pos
good,pos,pos
he is a good teacher,pos,pos
best,pos,pos
she teaches less and questioning much.not punctual.and she does not have enough concern about the student.,neg,neg
good,pos,pos
good,pos,pos
good,pos,pos
good,pos,pos
she is a good teacher,pos,pos
he is a very good teacher and very knowledgeable person,pos,pos
best,pos,pos
nothing,neu,neu
strong intellectual grasp and pleasing personality.,pos,pos
good teacher,pos,pos
best faculty,pos,pos
good,pos,pos
good,pos,pos
certainly a good instructor,pos,pos
good but not upto the mark,neg,neg
